date,generacion_total_programada_redespacho,generacion_total_programada_despacho,generacion_total_real,importacion_programada_redespacho,importacion__real,exportacion_programada_redespacho,exportacion__real,disponibilidad_real,demanda_no_atendida,costo_marginal_promedio_redespacho,aportes_hidricos,volumen_util_diario,volumen,id
"'2013-10-01 00:00:00'",178.25,ND,171.61,ND,ND,ND,ND,11835.32,305.11,147.44,142.77,9520.17,10658.53,1
"'2013-10-02 00:00:00'",180.02,ND,175.39,ND,ND,ND,ND,11800.91,167.89,160.8,134.89,9483.4,10621.76,2
"'2013-10-03 00:00:00'",177.47,ND,178.08,ND,ND,ND,ND,11867.83,762.85,177.83,156.98,9488.42,10626.78,3
"'2013-10-04 00:00:00'",176.78,ND,171.71,ND,ND,ND,ND,12187.11,14084.9,234.88,334.12,9674.33,10812.69,4
"'2013-10-05 00:00:00'",164.68,ND,163.28,ND,ND,ND,ND,12007.72,541.86,165.3,168.85,9726.04,10864.4,5
"'2013-10-06 00:00:00'",149.22,ND,148.71,ND,ND,ND,ND,12025.83,733.59,124.73,118.77,9724.88,10863.24,6
"'2013-10-07 00:00:00'",173.44,ND,172.74,ND,ND,ND,ND,11944.67,624.36,210.56,112.38,9688.39,10826.74,7
"'2013-10-08 00:00:00'",175.55,ND,174.81,ND,ND,ND,ND,11762.86,507.45,168.82,139.85,9687.09,10825.45,8
"'2013-10-09 00:00:00'",177.36,ND,177.52,ND,ND,ND,ND,11718.31,682.08,240.59,110.03,9654.8,10793.16,9
"'2013-10-10 00:00:00'",176.22,ND,178.67,ND,ND,ND,ND,11661.55,303.66,165.36,132.28,9636.41,10774.77,10
"'2013-10-11 00:00:00'",171.53,ND,170.05,ND,ND,ND,ND,12113.57,353.68,168.99,116.14,9613.22,10751.58,11
"'2013-10-12 00:00:00'",164.8,ND,166.01,ND,ND,ND,ND,11733.95,202.25,165.27,120.79,9593.62,10731.98,12
"'2013-10-13 00:00:00'",147.4,ND,145.56,ND,ND,ND,ND,11517.33,368.22,174.51,184.59,9658.37,10796.73,13
"'2013-10-14 00:00:00'",150.14,ND,148.48,ND,ND,ND,ND,11447.33,333.52,181.85,183.13,9711.36,10849.72,14
"'2013-10-15 00:00:00'",0.0,ND,170.86,ND,ND,ND,ND,11682.7,356.49,194.75,177.58,9741.78,10880.13,15
"'2013-10-16 00:00:00'",175.24,ND,169.47,ND,ND,ND,ND,11588.54,319.26,396.39,148.17,9750.99,10889.35,16
"'2013-10-17 00:00:00'",0.0,ND,169.52,ND,ND,ND,ND,11619.1,297.15,441.09,136.76,9751.69,10890.05,17
"'2013-10-18 00:00:00'",176.29,ND,174.7,ND,ND,ND,ND,11866.12,294.78,192.38,112.33,9714.43,10852.79,18
"'2013-10-19 00:00:00'",166.54,ND,165.95,ND,ND,ND,ND,11456.43,278.08,238.06,113.26,9694.42,10832.78,19
"'2013-10-20 00:00:00'",0.0,ND,148.13,ND,ND,ND,ND,11826.71,458.97,205.27,105.7,9689.01,10827.37,20
"'2013-10-21 00:00:00'",175.15,ND,172.3,ND,ND,ND,ND,11797.44,431.7,469.38,137.98,9681.76,10820.12,21
"'2013-10-22 00:00:00'",177.28,ND,171.45,ND,ND,ND,ND,11645.77,445.83,339.29,171.95,9722.7,10861.06,22
"'2013-10-23 00:00:00'",178.37,ND,175.48,ND,ND,ND,ND,11790.95,769.37,415.97,122.67,9716.29,10854.65,23
"'2013-10-24 00:00:00'",179.31,ND,175.76,ND,ND,ND,ND,11705.17,258.77,522.29,113.83,9698.12,10836.48,24
"'2013-10-25 00:00:00'",178.04,ND,177.1,ND,ND,ND,ND,11772.83,174.35,354.37,107.4,9685.25,10823.6,25
"'2013-10-26 00:00:00'",165.36,ND,164.99,ND,ND,ND,ND,11788.69,521.69,348.5,89.99,9648.34,10786.7,26
"'2013-10-27 00:00:00'",150.55,ND,151.12,ND,ND,ND,ND,11664.81,298.17,336.88,111.39,9652.18,10790.54,27
"'2013-10-28 00:00:00'",176.91,ND,170.25,ND,ND,ND,ND,11896.07,52.61,370.88,102.14,9615.77,10754.13,28
"'2013-10-29 00:00:00'",178.56,ND,180.65,ND,ND,ND,ND,11535.09,58.04,471.99,104.99,9585.84,10724.2,29
"'2013-10-30 00:00:00'",179.61,ND,178.79,ND,ND,ND,ND,11440.66,62.77,439.59,108.86,9545.04,10683.4,30
"'2013-10-31 00:00:00'",178.34,ND,174.4,ND,ND,ND,ND,11401.7,42.14,433.86,112.34,9530.49,10668.85,31
"'2013-11-01 00:00:00'",177.87,ND,172.58,ND,ND,ND,ND,11771.66,7.75,591.2,99.55,9502.94,10641.3,32
"'2013-11-02 00:00:00'",164.15,ND,162.35,ND,ND,ND,ND,12210.19,31.13,389.83,102.87,9501.77,10640.13,33
"'2013-11-03 00:00:00'",147.05,ND,142.96,ND,ND,ND,ND,6313.61,131.4,270.24,110.1,9526.95,10665.31,34
"'2013-11-04 00:00:00'",151.58,ND,148.15,ND,ND,ND,ND,11963.17,93.18,386.89,229.94,9643.83,10782.19,35
"'2013-11-05 00:00:00'",176.94,ND,172.56,ND,ND,ND,ND,11571.41,29.82,557.98,246.07,9754.95,10893.31,36
"'2013-11-06 00:00:00'",176.34,ND,173.13,ND,ND,ND,ND,6963.67,201.04,502.07,203.98,9819.38,10957.74,37
"'2013-11-07 00:00:00'",177.64,ND,172.94,ND,ND,ND,ND,11814.82,2.53,227.35,284.14,9947.77,11086.13,38
"'2013-11-08 00:00:00'",178.31,ND,174.91,ND,ND,ND,ND,11829.33,ND,196.26,193.18,9999.16,11137.52,39
"'2013-11-09 00:00:00'",166.22,ND,166.73,ND,ND,ND,ND,11986.53,7.65,160.94,202.36,10056.23,11194.59,40
"'2013-11-10 00:00:00'",146.88,ND,147.47,ND,ND,ND,ND,11967.7,184.13,142.39,191.37,10114.28,11252.64,41
"'2013-11-11 00:00:00'",151.13,ND,155.32,ND,ND,ND,ND,12067.42,13.49,171.22,146.66,10119.51,11257.87,42
"'2013-11-12 00:00:00'",174.48,ND,177.67,ND,ND,ND,ND,12144.16,ND,180.55,173.4,10138.02,11276.38,43
"'2013-11-13 00:00:00'",178.37,ND,179.65,ND,ND,ND,ND,12250.49,245.53,180.2,151.07,10147.91,11286.15,44
"'2013-11-14 00:00:00'",176.31,ND,179.68,ND,ND,ND,ND,12075.28,209.67,157.85,169.24,10176.28,11314.52,45
"'2013-11-15 00:00:00'",177.33,ND,180.7,ND,ND,ND,ND,12594.27,475.75,161.94,183.03,10210.34,11348.58,46
"'2013-11-16 00:00:00'",164.61,ND,170.57,ND,ND,ND,ND,12384.77,317.2,744.08,132.5,10202.48,11340.72,47
"'2013-11-17 00:00:00'",148.6,ND,153.19,ND,ND,ND,ND,12453.25,20.82,160.59,123.3,10207.7,11345.94,48
"'2013-11-18 00:00:00'",176.98,ND,176.58,ND,ND,ND,ND,12416.52,20.68,168.09,124.31,10184.18,11322.41,49
"'2013-11-19 00:00:00'",177.67,ND,179.38,ND,ND,ND,ND,12007.82,19.38,171.94,153.27,10185.8,11324.04,50
"'2013-11-20 00:00:00'",177.18,ND,176.57,ND,ND,ND,ND,11896.0,310.09,176.28,163.1,10202.4,11340.64,51
"'2013-11-21 00:00:00'",ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,52
"'2013-11-22 00:00:00'",177.97,ND,179.66,ND,ND,ND,ND,12527.66,118.75,171.39,124.97,10233.46,11371.69,53
"'2013-11-23 00:00:00'",168.79,ND,169.87,ND,ND,ND,ND,12799.0,150.73,165.0,128.23,10225.52,11363.76,54
"'2013-11-24 00:00:00'",151.54,ND,150.19,ND,ND,ND,ND,12708.83,226.12,171.08,150.76,10270.0,11408.24,55
"'2013-11-25 00:00:00'",177.01,ND,175.11,ND,ND,ND,ND,12409.93,ND,178.7,162.74,10276.32,11414.56,56
"'2013-11-26 00:00:00'",178.19,ND,178.35,ND,ND,ND,ND,12135.93,600.32,167.96,188.87,10307.18,11445.42,57
"'2013-11-27 00:00:00'",177.45,ND,176.79,ND,ND,ND,ND,12153.69,1018.28,166.35,190.23,10333.76,11472.0,58
"'2013-11-28 00:00:00'",179.81,ND,179.5,ND,ND,ND,ND,12258.29,567.07,176.48,185.36,10348.59,11486.82,59
"'2013-11-29 00:00:00'",178.92,ND,178.36,ND,ND,ND,ND,12503.64,56.28,175.6,156.46,10380.75,11518.99,60
"'2013-11-30 00:00:00'",168.08,ND,166.67,ND,ND,ND,ND,12709.11,53.68,177.99,207.79,10436.37,11574.6,61
"'2013-12-01 00:00:00'",148.69,ND,148.23,ND,ND,ND,ND,12597.09,636.04,140.28,236.6,10515.88,11654.12,62
"'2013-12-02 00:00:00'",173.71,ND,172.61,ND,ND,ND,ND,12755.83,529.94,205.47,308.2,10632.25,11770.49,63
"'2013-12-03 00:00:00'",175.65,ND,176.42,ND,ND,ND,ND,12815.96,354.72,173.7,240.46,10687.65,11825.88,64
"'2013-12-04 00:00:00'",174.56,ND,175.91,ND,ND,ND,ND,12998.95,2.75,169.28,191.82,10713.92,11852.15,65
"'2013-12-05 00:00:00'",178.76,ND,181.35,ND,ND,ND,ND,12955.37,4.6,147.63,165.26,10723.97,11862.21,66
"'2013-12-06 00:00:00'",179.12,ND,182.28,ND,ND,ND,ND,12970.45,4.02,163.49,147.57,10725.99,11864.23,67
"'2013-12-07 00:00:00'",169.87,ND,170.96,ND,ND,ND,ND,12775.19,2.9,183.67,156.91,10741.29,11879.53,68
"'2013-12-08 00:00:00'",153.69,ND,152.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,69
"'2013-12-09 00:00:00'",177.69,ND,178.05,ND,ND,ND,ND,12972.37,2.44,198.75,162.07,10781.06,11919.29,70
"'2013-12-10 00:00:00'",181.41,ND,180.36,ND,ND,ND,ND,12950.67,10.44,194.76,135.01,10765.18,11902.14,71
"'2013-12-11 00:00:00'",182.18,ND,184.13,ND,ND,ND,ND,13145.71,21.13,174.82,136.06,10745.07,11882.03,72
"'2013-12-12 00:00:00'",183.58,ND,186.14,ND,ND,ND,ND,13272.37,108.05,159.89,123.3,10713.06,11850.02,73
"'2013-12-13 00:00:00'",181.58,ND,183.91,ND,ND,ND,ND,13281.36,120.46,147.0,123.19,10683.15,11820.12,74
"'2013-12-14 00:00:00'",170.11,ND,168.98,ND,ND,ND,ND,12801.19,ND,168.39,114.7,10664.84,11801.81,75
"'2013-12-15 00:00:00'",151.78,ND,154.54,ND,ND,ND,ND,12728.81,161.42,185.7,151.61,10698.13,11835.1,76
"'2013-12-16 00:00:00'",174.34,ND,178.74,ND,ND,ND,ND,12614.58,ND,181.18,119.56,10673.97,11810.93,77
"'2013-12-17 00:00:00'",177.85,ND,181.63,ND,ND,ND,ND,12648.47,155.61,176.99,141.26,10681.85,11818.82,78
"'2013-12-18 00:00:00'",179.74,ND,182.09,ND,ND,ND,ND,12580.57,ND,180.23,133.53,10666.87,11803.84,79
"'2013-12-19 00:00:00'",180.76,ND,182.83,ND,ND,ND,ND,12684.89,59.21,175.83,122.11,10650.21,11787.18,80
"'2013-12-20 00:00:00'",179.58,ND,179.43,ND,ND,ND,ND,13129.56,1.46,162.13,106.88,10640.85,11777.81,81
"'2013-12-21 00:00:00'",169.11,ND,169.56,ND,ND,ND,ND,12893.82,66.4,161.16,106.13,10619.16,11756.13,82
"'2013-12-22 00:00:00'",151.89,ND,155.75,ND,ND,ND,ND,12751.53,45.72,157.03,146.84,10643.64,11780.6,83
"'2013-12-23 00:00:00'",167.11,ND,172.59,ND,ND,ND,ND,13002.49,4.58,156.82,207.51,10692.29,11829.25,84
"'2013-12-24 00:00:00'",163.34,ND,158.85,ND,ND,ND,ND,13099.88,12.38,146.83,169.62,10724.73,11861.69,85
"'2013-12-25 00:00:00'",147.7,ND,137.44,ND,ND,ND,ND,13182.06,ND,99.63,125.68,10733.74,11870.71,86
"'2013-12-26 00:00:00'",174.18,ND,167.11,ND,ND,ND,ND,13327.27,30.98,102.52,109.1,10699.34,11836.3,87
"'2013-12-27 00:00:00'",176.72,ND,173.38,ND,ND,ND,ND,13404.42,34.25,96.31,102.84,10650.55,11787.52,88
"'2013-12-28 00:00:00'",169.57,ND,167.23,ND,ND,ND,ND,13499.66,2.65,109.97,96.2,10602.84,11739.81,89
"'2013-12-29 00:00:00'",156.65,ND,156.04,ND,ND,ND,ND,13357.6,ND,190.8,95.47,10575.06,11712.02,90
"'2013-12-30 00:00:00'",163.74,ND,168.22,ND,ND,ND,ND,13318.85,ND,148.63,93.3,10525.23,11662.2,91
"'2013-12-31 00:00:00'",153.03,ND,157.2,ND,ND,ND,ND,13326.86,ND,185.25,94.36,10495.06,11632.02,92
"'2014-01-01 00:00:00'",133.87,ND,132.18,ND,ND,ND,ND,13446.69,ND,150.3,93.58,10497.69,11634.65,93
"'2014-01-02 00:00:00'",162.4,ND,158.47,ND,ND,ND,ND,13412.58,ND,168.05,94.69,10464.36,11601.33,94
"'2014-01-03 00:00:00'",169.66,ND,167.67,ND,ND,ND,ND,13166.57,ND,166.03,111.52,10424.65,11561.61,95
"'2014-01-04 00:00:00'",163.21,ND,163.05,ND,ND,ND,ND,13447.74,ND,157.17,85.17,10381.66,11518.63,96
"'2014-01-05 00:00:00'",145.61,ND,145.79,ND,ND,ND,ND,13368.46,120.43,178.29,90.85,10372.59,11509.55,97
"'2014-01-06 00:00:00'",149.15,ND,148.19,ND,ND,ND,ND,13347.61,18.97,175.11,152.98,10390.13,11527.09,98
"'2014-01-07 00:00:00'",169.77,ND,165.16,ND,ND,ND,ND,13312.65,ND,171.67,124.28,10402.64,11539.6,99
"'2014-01-08 00:00:00'",170.02,ND,165.81,ND,ND,ND,ND,12999.68,7.41,169.15,107.5,10390.57,11527.53,100
"'2014-01-09 00:00:00'",171.76,ND,167.21,ND,ND,ND,ND,13139.29,32.55,161.75,108.79,10376.0,11512.97,101
"'2014-01-10 00:00:00'",174.0,ND,171.08,ND,ND,ND,ND,12985.2,4.18,165.21,108.69,10355.51,11492.47,102
"'2014-01-11 00:00:00'",166.27,ND,164.9,ND,ND,ND,ND,13056.34,13.73,151.93,104.29,10335.55,11472.51,103
"'2014-01-12 00:00:00'",151.16,ND,147.01,ND,ND,ND,ND,13152.09,31.27,120.62,107.46,10330.69,11467.66,104
"'2014-01-13 00:00:00'",176.63,ND,174.81,ND,ND,ND,ND,13081.3,62.49,169.7,91.45,10279.25,11416.22,105
"'2014-01-14 00:00:00'",179.09,ND,179.75,ND,ND,ND,ND,12888.33,2.39,151.31,84.23,10219.46,11356.43,106
"'2014-01-15 00:00:00'",178.33,ND,180.14,ND,ND,ND,ND,12700.39,11.78,147.72,86.65,10161.58,11298.55,107
"'2014-01-16 00:00:00'",180.37,ND,181.33,ND,ND,ND,ND,12636.06,ND,141.66,92.94,10099.03,11235.99,108
"'2014-01-17 00:00:00'",180.7,ND,181.47,ND,ND,ND,ND,12590.35,1.9,149.25,85.84,10046.49,11183.46,109
"'2014-01-18 00:00:00'",168.85,ND,171.01,ND,ND,ND,ND,12622.84,ND,149.27,80.05,9991.08,11128.04,110
"'2014-01-19 00:00:00'",152.69,ND,153.6,ND,ND,ND,ND,12650.04,24.77,149.1,79.78,9950.19,11087.15,111
"'2014-01-20 00:00:00'",176.52,ND,178.85,ND,ND,ND,ND,12687.01,51.0,160.5,88.89,9883.7,11020.67,112
"'2014-01-21 00:00:00'",179.24,ND,183.48,ND,ND,ND,ND,12620.82,ND,155.48,70.93,9826.92,10963.88,113
"'2014-01-22 00:00:00'",177.2,ND,180.97,ND,ND,ND,ND,12684.7,19.06,155.9,97.6,9769.18,10906.14,114
"'2014-01-23 00:00:00'",0.0,ND,181.93,ND,ND,ND,ND,12447.7,33.4,163.43,77.36,9703.52,10840.48,115
"'2014-01-24 00:00:00'",179.06,ND,182.17,ND,ND,ND,ND,12440.46,55.62,158.13,69.01,9641.1,10778.06,116
"'2014-01-25 00:00:00'",170.94,ND,174.28,ND,ND,ND,ND,12485.52,106.41,149.51,76.08,9570.86,10707.82,117
"'2014-01-26 00:00:00'",155.42,ND,155.44,ND,ND,ND,ND,12703.31,661.27,161.54,77.44,9534.96,10671.92,118
"'2014-01-27 00:00:00'",181.22,ND,183.38,ND,ND,ND,ND,12668.45,77.81,166.79,60.59,9467.58,10604.54,119
"'2014-01-28 00:00:00'",182.49,ND,186.4,ND,ND,ND,ND,12662.54,22.75,165.44,84.24,9392.39,10529.36,120
"'2014-01-29 00:00:00'",181.69,ND,185.52,ND,ND,ND,ND,12614.54,11.93,189.45,86.5,9337.23,10474.19,121
"'2014-01-30 00:00:00'",182.59,ND,183.28,ND,ND,ND,ND,12823.52,1306.03,176.92,82.79,9270.83,10407.79,122
"'2014-01-31 00:00:00'",183.46,ND,181.23,ND,ND,ND,ND,12928.84,138.97,186.28,79.64,9212.89,10349.85,123
"'2014-02-01 00:00:00'",171.49,ND,171.74,ND,ND,ND,ND,12765.41,1.83,176.81,70.16,9157.65,10294.61,124
"'2014-02-02 00:00:00'",152.1,ND,152.0,ND,ND,ND,ND,12699.44,208.43,193.45,90.09,9130.8,10267.76,125
"'2014-02-03 00:00:00'",180.18,ND,179.54,ND,ND,ND,ND,12691.68,30.97,193.29,95.79,9078.9,10215.87,126
"'2014-02-04 00:00:00'",182.62,ND,182.49,ND,ND,ND,ND,12462.96,30.0,196.2,72.26,9021.95,10158.91,127
"'2014-02-05 00:00:00'",182.63,ND,180.92,ND,ND,ND,ND,12406.6,ND,216.56,74.97,8961.92,10098.88,128
"'2014-02-06 00:00:00'",182.72,ND,181.12,ND,ND,ND,ND,12186.95,ND,213.53,80.13,8914.19,10051.15,129
"'2014-02-07 00:00:00'",183.52,ND,183.73,ND,ND,ND,ND,12173.32,7.23,206.69,73.26,8860.54,9997.51,130
"'2014-02-08 00:00:00'",173.93,ND,173.59,ND,ND,ND,ND,12197.27,16.55,200.2,67.86,8797.79,9934.75,131
"'2014-02-09 00:00:00'",156.67,ND,156.24,ND,ND,ND,ND,12341.25,341.59,185.67,68.84,8762.87,9899.83,132
"'2014-02-10 00:00:00'",179.14,ND,181.17,ND,ND,ND,ND,12342.7,148.61,199.75,74.98,8703.2,9840.16,133
"'2014-02-11 00:00:00'",181.52,ND,182.38,ND,ND,ND,ND,12195.81,71.12,204.07,72.53,8639.18,9776.14,134
"'2014-02-12 00:00:00'",181.87,ND,184.14,ND,ND,ND,ND,12194.19,ND,202.52,67.5,8569.04,9706.01,135
"'2014-02-13 00:00:00'",182.41,ND,183.78,ND,ND,ND,ND,12289.93,64.45,184.32,91.66,8523.71,9660.67,136
"'2014-02-14 00:00:00'",182.18,ND,183.08,ND,ND,ND,ND,12399.66,13.67,184.45,75.58,8462.14,9599.11,137
"'2014-02-15 00:00:00'",172.11,ND,174.77,ND,ND,ND,ND,12313.69,150.19,201.96,61.87,8397.07,9534.04,138
"'2014-02-16 00:00:00'",154.04,ND,154.09,ND,ND,ND,ND,12315.91,31.04,198.25,66.08,8362.28,9499.25,139
"'2014-02-17 00:00:00'",179.86,ND,181.71,ND,ND,ND,ND,12480.5,ND,190.17,62.95,8292.52,9429.48,140
"'2014-02-18 00:00:00'",182.61,ND,182.69,ND,ND,ND,ND,12344.3,176.41,192.47,78.63,8242.31,9379.27,141
"'2014-02-19 00:00:00'",183.62,ND,182.8,ND,ND,ND,ND,12306.23,124.83,184.5,94.62,8193.53,9330.49,142
"'2014-02-20 00:00:00'",182.27,ND,183.52,ND,ND,ND,ND,12296.6,194.62,216.29,89.35,8156.92,9293.88,143
"'2014-02-21 00:00:00'",182.65,ND,182.67,ND,ND,ND,ND,12301.62,19.57,166.08,125.73,8140.05,9277.01,144
"'2014-02-22 00:00:00'",172.87,ND,172.59,ND,ND,ND,ND,11847.06,2.17,182.85,105.25,8115.26,9252.22,145
"'2014-02-23 00:00:00'",156.39,ND,155.57,ND,ND,ND,ND,12026.5,ND,164.2,84.59,8103.44,9240.4,146
"'2014-02-24 00:00:00'",181.49,ND,180.5,ND,ND,ND,ND,11633.43,1.67,173.18,85.85,8032.05,9169.02,147
"'2014-02-25 00:00:00'",184.23,ND,182.61,ND,ND,ND,ND,11722.86,2.09,156.38,119.47,8013.9,9150.87,148
"'2014-02-26 00:00:00'",185.06,ND,182.44,ND,ND,ND,ND,12039.26,ND,526.89,94.72,7973.41,9110.37,149
"'2014-02-27 00:00:00'",184.91,ND,182.43,ND,ND,ND,ND,11960.14,56.34,187.93,212.94,8048.07,9185.03,150
"'2014-02-28 00:00:00'",185.55,ND,180.06,ND,ND,ND,ND,11919.23,68.52,169.65,191.58,8098.81,9235.78,151
"'2014-03-01 00:00:00'",174.86,ND,168.28,ND,ND,ND,ND,12151.93,2.21,160.56,147.4,8113.23,9250.19,152
"'2014-03-02 00:00:00'",158.46,ND,148.81,ND,ND,ND,ND,12358.57,ND,367.96,117.04,8111.77,9248.73,153
"'2014-03-03 00:00:00'",181.83,ND,171.31,ND,ND,ND,ND,12080.01,ND,170.11,147.25,8127.66,9264.63,154
"'2014-03-04 00:00:00'",182.75,ND,175.05,ND,ND,ND,ND,11802.21,24.7,202.47,140.16,8142.76,9279.72,155
"'2014-03-05 00:00:00'",185.39,ND,180.3,ND,ND,ND,ND,11681.75,20.27,168.85,122.94,8136.65,9273.61,156
"'2014-03-06 00:00:00'",185.49,ND,181.53,ND,ND,ND,ND,11640.1,1.61,187.58,113.05,8110.44,9247.41,157
"'2014-03-07 00:00:00'",186.33,ND,181.54,ND,ND,ND,ND,12144.25,77.76,160.26,126.77,8090.9,9227.86,158
"'2014-03-08 00:00:00'",175.2,ND,171.84,ND,ND,ND,ND,12195.45,8.97,142.51,133.81,8080.9,9217.86,159
"'2014-03-09 00:00:00'",156.98,ND,149.04,ND,ND,ND,ND,12258.85,153.83,134.21,132.29,8090.59,9227.56,160
"'2014-03-10 00:00:00'",176.74,ND,173.5,ND,ND,ND,ND,12177.2,67.9,129.36,109.57,8059.68,9196.64,161
"'2014-03-11 00:00:00'",180.33,ND,178.08,ND,ND,ND,ND,11696.11,1.73,158.79,102.17,8016.16,9153.12,162
"'2014-03-12 00:00:00'",180.74,ND,176.18,ND,ND,ND,ND,11716.7,14.53,163.64,117.35,7988.73,9122.75,163
"'2014-03-13 00:00:00'",181.49,ND,179.1,ND,ND,ND,ND,11810.35,14.3,155.82,118.63,7978.15,9112.17,164
"'2014-03-14 00:00:00'",179.74,ND,179.51,ND,ND,ND,ND,11879.24,108.93,153.01,114.92,7942.6,9076.62,165
"'2014-03-15 00:00:00'",169.65,ND,166.4,ND,ND,ND,ND,12023.29,208.47,153.92,136.78,7959.91,9093.93,166
"'2014-03-16 00:00:00'",152.22,ND,148.05,ND,ND,ND,ND,11918.95,87.9,124.31,123.15,7962.67,9096.69,167
"'2014-03-17 00:00:00'",178.48,ND,177.99,ND,ND,ND,ND,12015.87,22.71,143.71,106.05,7915.65,9049.67,168
"'2014-03-18 00:00:00'",181.3,ND,181.03,ND,ND,ND,ND,12006.04,90.29,137.77,116.83,7881.15,9015.17,169
"'2014-03-19 00:00:00'",181.82,ND,182.42,ND,ND,ND,ND,6373.73,159.87,133.42,98.87,7829.84,8963.86,170
"'2014-03-20 00:00:00'",181.36,ND,180.78,ND,ND,ND,ND,11991.5,203.74,113.69,86.24,7774.78,8908.8,171
"'2014-03-21 00:00:00'",182.68,ND,183.42,ND,ND,ND,ND,11921.54,1.54,133.66,76.78,7711.17,8845.19,172
"'2014-03-22 00:00:00'",168.04,ND,173.78,ND,ND,ND,ND,11481.97,77.77,134.05,76.33,7650.89,8784.91,173
"'2014-03-23 00:00:00'",150.83,ND,154.65,ND,ND,ND,ND,11582.46,ND,157.78,87.84,7620.12,8754.15,174
"'2014-03-24 00:00:00'",156.8,ND,157.21,ND,ND,ND,ND,11738.33,26.17,170.63,78.05,7584.87,8718.89,175
"'2014-03-25 00:00:00'",178.97,ND,176.69,ND,ND,ND,ND,11812.71,354.31,161.81,91.93,7541.7,8675.72,176
"'2014-03-26 00:00:00'",183.22,ND,180.03,ND,ND,ND,ND,11763.3,59.96,184.32,117.1,7512.91,8646.93,177
"'2014-03-27 00:00:00'",182.21,ND,180.97,ND,ND,ND,ND,12055.19,ND,363.22,76.82,7449.68,8583.7,178
"'2014-03-28 00:00:00'",176.97,ND,180.68,ND,ND,ND,ND,12067.14,193.04,148.65,69.53,7378.71,8512.73,179
"'2014-03-29 00:00:00'",165.75,ND,172.48,ND,ND,ND,ND,12100.16,9.33,124.46,63.04,7314.67,8448.69,180
"'2014-03-30 00:00:00'",149.28,ND,152.29,ND,ND,ND,ND,11972.14,226.97,120.18,59.45,7260.93,8394.95,181
"'2014-03-31 00:00:00'",174.11,ND,175.39,ND,ND,ND,ND,12100.31,101.32,128.74,59.72,7189.57,8323.59,182
"'2014-04-01 00:00:00'",178.3,ND,180.06,ND,ND,ND,ND,12054.32,10.1,172.86,57.4,7113.91,8247.93,183
"'2014-04-02 00:00:00'",179.15,ND,180.98,ND,ND,ND,ND,11982.7,78.18,186.63,62.39,7040.61,8174.63,184
"'2014-04-03 00:00:00'",179.47,ND,180.8,ND,ND,ND,ND,12049.97,31.06,241.23,65.45,6988.14,8122.16,185
"'2014-04-04 00:00:00'",178.53,ND,181.0,ND,ND,ND,ND,12251.92,420.66,272.36,69.55,6945.86,8079.88,186
"'2014-04-05 00:00:00'",167.4,ND,170.15,ND,ND,ND,ND,12293.52,3283.79,234.6,82.49,6916.34,8050.36,187
"'2014-04-06 00:00:00'",151.13,ND,152.62,ND,ND,ND,ND,12232.89,756.71,211.13,63.44,6893.97,8027.99,188
"'2014-04-07 00:00:00'",176.96,ND,179.89,ND,ND,ND,ND,12043.62,75.59,312.92,108.11,6871.6,8005.62,189
"'2014-04-08 00:00:00'",179.25,ND,183.58,ND,ND,ND,ND,12030.52,101.36,320.89,120.17,6852.92,7986.94,190
"'2014-04-09 00:00:00'",180.51,ND,182.76,ND,ND,ND,ND,11805.01,306.81,333.27,100.92,6820.78,7954.8,191
"'2014-04-10 00:00:00'",181.21,ND,182.55,ND,ND,ND,ND,11981.64,91.27,358.79,76.26,6769.15,7903.17,192
"'2014-04-11 00:00:00'",184.21,ND,184.73,ND,ND,ND,ND,12167.14,29.05,340.41,61.14,6699.72,7833.74,193
"'2014-04-12 00:00:00'",171.53,ND,172.9,ND,ND,ND,ND,5274.2,5.64,321.44,64.05,6635.49,7769.51,194
"'2014-04-13 00:00:00'",149.68,ND,155.41,ND,ND,ND,ND,11933.13,142.41,329.45,63.73,6595.67,7729.69,195
"'2014-04-14 00:00:00'",179.35,ND,179.92,ND,ND,ND,ND,11937.06,70.26,363.65,67.74,6541.04,7675.06,196
"'2014-04-15 00:00:00'",180.73,ND,178.44,ND,ND,ND,ND,11791.67,59.62,399.86,76.82,6486.68,7620.7,197
"'2014-04-16 00:00:00'",177.09,ND,173.1,ND,ND,ND,ND,11958.43,34.67,430.38,90.52,6447.27,7581.29,198
"'2014-04-17 00:00:00'",145.04,ND,146.99,ND,ND,ND,ND,12014.67,13.71,458.96,103.29,6444.34,7578.36,199
"'2014-04-18 00:00:00'",134.86,ND,137.73,ND,ND,ND,ND,11777.53,26.04,446.85,76.99,6415.46,7549.48,200
"'2014-04-19 00:00:00'",154.35,ND,150.88,ND,ND,ND,ND,11804.44,14.09,444.71,132.03,6440.53,7574.55,201
"'2014-04-20 00:00:00'",149.63,ND,146.98,ND,ND,ND,ND,11954.11,331.23,447.96,120.31,6456.22,7590.24,202
"'2014-04-21 00:00:00'",179.92,ND,177.01,ND,ND,ND,ND,11557.3,22.89,467.04,111.17,6432.73,7566.75,203
"'2014-04-22 00:00:00'",183.07,ND,178.15,ND,ND,ND,ND,11396.19,19.42,486.74,115.57,6415.38,7549.4,204
