date,generacion_total_programada_redespacho,generacion_total_programada_despacho,generacion_total_real,importacion_programada_redespacho,importacion__real,exportacion_programada_redespacho,exportacion__real,disponibilidad_real,demanda_no_atendida,costo_marginal_promedio_redespacho,aportes_hidricos,volumen_util_diario,volumen,id
"'2017-06-03 00:00:00'",178.26,178.74,182.36,0.0,0.07,0.0,0.0,13871.15,129.6,61.57,134.80,12304.78,13888.77,1342
"'2017-06-04 00:00:00'",159.04,159.32,164.75,0.0,0.06,0.0,0.0,13725.5,1172.69,59.25,173.84,12324.30,13908.29,1343
"'2017-06-05 00:00:00'",186.59,186.59,188.57,0.0,0.02,0.0,0.0,14042.68,ND,58.79,217.43,12364.19,13948.19,1344
"'2017-06-06 00:00:00'",188.7,188.7,192.95,0.0,0.04,0.0,0.0,13757.91,8.84,60.34,150.84,12332.18,13916.17,1345
"'2017-06-07 00:00:00'",190.37,190.37,191.12,0.0,0.05,0.0,0.0,13864.2,47.35,60.49,338.95,12477.17,14061.17,1346
"'2017-06-08 00:00:00'",191.37,191.37,186.18,0.0,0.03,0.0,0.0,13765.44,30.08,60.93,241.99,12543.18,14127.17,1347
"'2017-06-09 00:00:00'",191.1,191.1,187.56,0.0,0.04,0.0,0.0,14235.18,82.05,58.83,214.59,12576.12,14160.11,1348
"'2017-06-10 00:00:00'",180.51,180.51,181.92,0.0,0.05,0.0,0.0,14063.97,267.07,58.64,182.30,12573.25,14157.23,1349
"'2017-06-11 00:00:00'",161.59,161.59,163.37,0.0,0.09,0.0,0.0,13588.23,916.97,58.59,206.42,12620.81,14204.79,1350
"'2017-06-12 00:00:00'",187.63,187.63,182.9,0.0,0.07,0.0,0.0,13636.17,280.9,76.57,309.58,12699.13,14283.11,1351
"'2017-06-13 00:00:00'",190.95,190.95,184.76,0.0,0.13,0.0,0.07,13187.85,444.27,60.94,409.43,12844.28,14428.26,1352
"'2017-06-14 00:00:00'",191.35,191.5,186.45,0.0,0.13,0.0,0.07,13320.17,395.88,65.2,283.49,12882.89,14466.90,1353
"'2017-06-15 00:00:00'",191.77,192.07,184.73,0.0,0.13,0.0,0.07,13331.12,383.08,58.59,412.59,13040.64,14624.63,1354
"'2017-06-16 00:00:00'",191.38,191.38,186.88,0.0,0.13,0.0,0.07,13343.4,5.9,58.59,256.77,13066.32,14650.32,1355
"'2017-06-17 00:00:00'",180.4,180.4,176.05,0.0,0.11,0.0,0.07,13388.68,2.75,58.59,261.48,13099.41,14683.39,1356
"'2017-06-18 00:00:00'",160.19,160.19,154.43,0.0,0.1,0.0,0.05,13466.66,58.65,58.59,233.11,13139.87,14723.87,1357
"'2017-06-19 00:00:00'",163.75,163.75,158.05,0.0,0.11,0.0,0.06,13505.7,16.68,58.59,243.70,13187.29,14771.28,1358
"'2017-06-20 00:00:00'",186.1,186.1,183.83,0.0,0.12,0.0,0.06,13475.12,43.66,58.59,250.89,13237.17,14821.16,1359
"'2017-06-21 00:00:00'",187.57,187.57,182.91,0.0,0.13,0.0,0.07,13363.86,469.58,58.59,287.88,13314.84,14898.84,1360
"'2017-06-22 00:00:00'",188.43,188.43,186.58,0.0,0.11,0.0,0.07,13305.71,64.87,58.59,217.71,13337.12,14921.11,1361
"'2017-06-23 00:00:00'",187.69,187.69,186.91,0.0,0.12,0.0,0.07,13377.17,176.14,58.59,233.11,13366.67,14950.67,1362
"'2017-06-24 00:00:00'",178.77,178.77,179.33,0.0,0.05,0.0,0.0,13361.63,9.7,58.59,181.12,13360.59,14944.60,1363
